Content,Label
@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,negative
@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,negative
@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,negative
@VirginAmerica do you miss me? Don't worry we'll be together very soon.,neutral
@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,negative
@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,neutral
"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",negative
@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,neutral
"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",negative
"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",negative
@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,positive
Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,neutral
@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,positive
"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",positive
@VirginAmerica when can I book my flight to Hawaii??,neutral
@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,negative
"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",positive
"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",negative
@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,neutral
@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,neutral
@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,neutral
@VirginAmerica I'm #elevategold for a good reason: you rock!!,positive
