Content,Label
@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,negative
@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,negative
@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,negative
@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,negative
"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",negative
"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",negative
"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",negative
@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,positive
@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,positive
"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",positive
@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,negative
"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",positive
"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",negative
@VirginAmerica I'm #elevategold for a good reason: you rock!!,positive
@VirginAmerica wow this just blew my mind,positive
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,positive
@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,negative
@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,positive
@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,positive
@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,negative
@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,positive
@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,negative
